,ID,gain_target,gain_real,pin_real,pout_real,pout_target,ase_real,freq_1,freq_2,freq_3,freq_4,freq_5,freq_6,freq_7,freq_8,freq_9,freq_10,freq_11,freq_12,freq_13,freq_14,freq_15,freq_16,freq_17,freq_18,freq_19,freq_20,gain_profile_1,gain_profile_2,gain_profile_3,gain_profile_4,gain_profile_5,gain_profile_6,gain_profile_7,gain_profile_8,gain_profile_9,gain_profile_10,gain_profile_11,gain_profile_12,gain_profile_13,gain_profile_14,gain_profile_15,gain_profile_16,gain_profile_17,gain_profile_18,gain_profile_19,gain_profile_20,ase_profile1,ase_profile2,ase_profile3,ase_profile4,ase_profile5,ase_profile6,ase_profile7,ase_profile8,ase_profile9,ase_profile10,ase_profile11,ase_profile12,ase_profile13,ase_profile14,ase_profile15,ase_profile16,ase_profile17,ase_profile18,ase_profile19,ase_profile20,gain_ripple_1,gain_ripple_2,gain_ripple_3,gain_ripple_4,gain_ripple_5,gain_ripple_6,gain_ripple_7,gain_ripple_8,gain_ripple_9,gain_ripple_10,gain_ripple_11,gain_ripple_12,gain_ripple_13,gain_ripple_14,gain_ripple_15,gain_ripple_16,gain_ripple_17,gain_ripple_18,gain_ripple_19,gain_ripple_20,ase_ripple1,ase_ripple2,ase_ripple3,ase_ripple4,ase_ripple5,ase_ripple6,ase_ripple7,ase_ripple8,ase_ripple9,ase_ripple10,ase_ripple11,ase_ripple12,ase_ripple13,ase_ripple14,ase_ripple15,ase_ripple16,ase_ripple17,ase_ripple18,ase_ripple19,ase_ripple20,gain_pred
0,41,11,10.969999999999999,-0.1,10.87,10.9,-37.020772104010234,191.746,191.95350000000002,192.1585,192.36350000000002,192.566,192.76850000000002,192.971,193.17100000000002,193.371,193.5735,193.77100000000002,193.971,194.17100000000002,194.371,194.5685,194.76350000000002,194.961,195.1535,195.3485,195.54350000000002,10.513058947370167,10.513058947370165,10.553058947370166,10.673058947370167,10.733058947370164,10.793058947370167,10.953058947370167,10.893058947370166,10.873058947370167,11.193058947370165,10.773058947370167,10.833058947370166,10.913058947370166,10.933058947370167,11.063058947370166,11.033058947370165,11.183058947370169,10.313058947370168,10.153058947370166,10.203058947370167,-44.19330067547769,-36.93830067547768,-37.08330067547769,-37.21330067547768,-37.243300675477684,-37.21830067547768,-37.27330067547767,-37.143300675477676,-37.038300675477686,-37.29830067547768,-36.81830067547767,-36.78330067547769,-36.74830067547768,-36.643300675477676,-36.68830067547768,-36.598300675477674,-36.84330067547768,-36.128300675477675,-36.16830067547768,-36.363300675477674,-0.45694105262983165,-0.4569410526298334,-0.4169410526298325,-0.2969410526298315,-0.23694105262983456,-0.17694105262983228,-0.016941052629832143,-0.07694105262983264,-0.09694105262983221,0.2230589473701663,-0.19694105262983186,-0.13694105262983314,-0.05694105262983307,-0.03694105262983172,0.09305894737016729,0.06305894737016615,0.21305894737017006,-0.6569410526298309,-0.8169410526298329,-0.7669410526298321,-7.172528571467453,0.08247142853255696,-0.06252857146745328,-0.19252857146744873,-0.22252857146744986,-0.19752857146744418,-0.2525285714674368,-0.12252857146744134,-0.01752857146745157,-0.2775285714674425,0.2024714285325615,0.23747142853254388,0.2724714285325547,0.37747142853255866,0.33247142853255696,0.42247142853256037,0.17747142853255582,0.8924714285325592,0.852471428532553,0.6574714285325598,11.0
0,42,13,12.969999999999999,-0.1,12.87,12.9,-39.51482117044735,191.746,191.95350000000002,192.1585,192.36350000000002,192.566,192.76850000000002,192.971,193.17100000000002,193.371,193.5735,193.77100000000002,193.971,194.17100000000002,194.371,194.5685,194.76350000000002,194.961,195.1535,195.3485,195.54350000000002,12.467383944610877,12.467383944610875,12.527383944610875,12.647383944610876,12.707383944610875,12.767383944610877,12.917383944610876,12.867383944610875,12.857383944610875,13.187383944610875,12.777383944610877,12.837383944610876,12.927383944610874,12.947383944610877,13.077383944610876,13.047383944610875,13.207383944610879,12.337383944610878,12.187383944610875,12.267383944610877,-45.03830067547767,-39.108300675477665,-39.303300675477686,-39.45830067547767,-39.508300675477685,-39.503300675477675,-39.578300675477664,-39.47830067547767,-39.408300675477676,-39.71330067547767,-39.27830067547767,-39.283300675477676,-39.28830067547767,-39.21830067547768,-39.29830067547768,-39.258300675477685,-39.57330067547768,-38.94830067547767,-39.123300675477665,-39.45830067547769,-0.5026160553891224,-0.5026160553891241,-0.44261605538912363,-0.32261605538912264,-0.2626160553891239,-0.20261605538912164,-0.05261605538912306,-0.10261605538912377,-0.11261605538912356,0.2173839446108765,-0.19261605538912185,-0.13261605538912313,-0.04261605538912505,-0.022616055389121925,0.10738394461087708,0.07738394461087594,0.23738394461087964,-0.6326160553891214,-0.7826160553891235,-0.7026160553891216,-5.523479505030323,0.40652049496968345,0.21152049496966185,0.05652049496967493,0.0065204949696635595,0.011520494969673223,-0.06347950503031541,0.03652049496967891,0.10652049496967209,-0.19847950503032052,0.23652049496968175,0.23152049496967209,0.22652049496967663,0.2965204949696698,0.21652049496967152,0.25652049496966356,-0.05847950503033417,0.56652049496968,0.3915204949696829,0.05652049496966072,13.0
0,43,15,14.959999999999999,-0.1,14.86,14.9,-41.38359676907197,191.746,191.95350000000002,192.1585,192.36350000000002,192.566,192.76850000000002,192.971,193.17100000000002,193.371,193.5735,193.77100000000002,193.971,194.17100000000002,194.371,194.5685,194.76350000000002,194.961,195.1535,195.3485,195.54350000000002,14.424548407569834,14.434548407569832,14.484548407569832,14.604548407569833,14.674548407569832,14.734548407569834,14.894548407569834,14.844548407569834,14.844548407569832,15.174548407569832,14.774548407569833,14.834548407569834,14.924548407569832,14.944548407569835,15.074548407569834,15.05454840756983,15.224548407569834,14.354548407569833,14.194548407569833,14.294548407569833,-46.80330067547767,-40.81830067547767,-40.983300675477665,-41.12330067547768,-41.18830067547768,-41.19830067547768,-41.29330067547768,-41.22330067547769,-41.19330067547769,-41.51830067547766,-41.12330067547768,-41.158300675477676,-41.18330067547768,-41.13330067547767,-41.26330067547768,-41.26330067547768,-41.65330067547768,-41.09330067547768,-41.27830067547768,-41.643300675477676,-0.5354515924301655,-0.5254515924301675,-0.47545159243016677,-0.3554515924301658,-0.28545159243016727,-0.225451592430165,-0.06545159243016485,-0.11545159243016556,-0.11545159243016734,0.21454840756983273,-0.18545159243016585,-0.12545159243016535,-0.03545159243016727,-0.01545159243016414,0.11454840756983486,0.09454840756983174,0.2645484075698352,-0.6054515924301658,-0.7654515924301659,-0.6654515924301663,-5.419703906405701,0.5652960935942986,0.4002960935943065,0.26029609359429173,0.195296093594294,0.1852960935942889,0.09029609359429003,0.1602960935942832,0.19029609359428434,-0.13470390640569008,0.26029609359429173,0.22529609359429514,0.20029609359428946,0.25029609359430083,0.12029609359429116,0.12029609359429116,-0.2697039064057094,0.29029609359429287,0.1052960935942906,-0.2597039064057043,15.0
0,44,17,16.96,-0.1,16.86,16.9,-42.58784237860495,191.746,191.95350000000002,192.1585,192.36350000000002,192.566,192.76850000000002,192.971,193.17100000000002,193.371,193.5735,193.77100000000002,193.971,194.17100000000002,194.371,194.5685,194.76350000000002,194.961,195.1535,195.3485,195.54350000000002,16.393396379655357,16.41339637965536,16.463396379655357,16.583396379655362,16.65339637965536,16.71339637965536,16.88339637965536,16.82339637965536,16.83339637965536,17.16339637965536,16.78339637965536,16.83339637965536,16.933396379655356,16.96339637965536,17.09339637965536,17.06339637965536,17.243396379655362,16.38339637965536,16.213396379655357,16.32339637965536,-46.95830067547769,-42.008300675477685,-42.13830067547768,-42.24830067547768,-42.29830067547768,-42.31330067547768,-42.42830067547767,-42.35830067547768,-42.35830067547768,-42.70330067547768,-42.34830067547769,-42.37330067547768,-42.41830067547768,-42.398300675477685,-42.553300675477686,-42.57330067547768,-43.008300675477685,-42.47830067547767,-42.633300675477685,-42.94330067547767,-0.5666036203446438,-0.5466036203446407,-0.49660362034464356,-0.376603620344639,-0.3066036203446423,-0.24660362034464,-0.07660362034464185,-0.13660362034464058,-0.12660362034464256,0.20339637965535928,-0.17660362034463972,-0.12660362034464256,-0.026603620344644696,0.0033963796553599934,0.133396379655359,0.10339637965535786,0.28339637965536113,-0.5766036203446419,-0.7466036203446436,-0.6366036203446406,-4.370458296872741,0.579541703127262,0.4495417031272666,0.33954170312726717,0.28954170312727,0.27454170312726944,0.15954170312727456,0.22954170312726774,0.22954170312726774,-0.11545829687273113,0.23954170312725864,0.21454170312726717,0.16954170312726546,0.18954170312726148,0.03454170312726035,0.014541703127264327,-0.42045829687273795,0.1095417031272774,-0.04545829687273795,-0.355458296872726,17.0
0,45,19,18.96,-0.1,18.86,18.9,-43.28883802923811,191.746,191.95350000000002,192.1585,192.36350000000002,192.566,192.76850000000002,192.971,193.17100000000002,193.371,193.5735,193.77100000000002,193.971,194.17100000000002,194.371,194.5685,194.76350000000002,194.961,195.1535,195.3485,195.54350000000002,18.35706555784544,18.37706555784544,18.43706555784544,18.55706555784544,18.62706555784544,18.687065557845443,18.85706555784544,18.80706555784544,18.81706555784544,19.157065557845442,18.777065557845443,18.84706555784544,18.93706555784544,18.967065557845444,19.09706555784544,19.087065557845442,19.26706555784544,18.407065557845442,18.257065557845443,18.37706555784544,-47.788300675477686,-42.753300675477675,-42.83830067547768,-42.92330067547768,-42.95830067547767,-42.96330067547768,-43.08330067547769,-43.02330067547767,-43.03830067547767,-43.39830067547767,-43.03830067547767,-43.08330067547767,-43.113300675477674,-43.09330067547768,-43.258300675477685,-43.31330067547768,-43.76330067547768,-43.22330067547769,-43.373300675477694,-43.628300675477675,-0.6029344421545595,-0.5829344421545599,-0.5229344421545612,-0.4029344421545602,-0.3329344421545599,-0.27293444215455764,-0.10293444215455949,-0.1529344421545602,-0.1429344421545622,0.19706555784544122,-0.18293444215455779,-0.11293444215456105,-0.022934442154561197,0.007065557845443493,0.13706555784543895,0.12706555784544094,0.30706555784544065,-0.5529344421545588,-0.7029344421545574,-0.5829344421545599,-4.499462646239579,0.5355373537604322,0.45053735376042425,0.3655373537604305,0.3305373537604339,0.32553735376042425,0.2055373537604197,0.2655373537604362,0.2505373537604356,-0.10946264623956381,0.2505373537604356,0.20553735376043392,0.17553735376043278,0.1955373537604288,0.030537353760422548,-0.024462646239570063,-0.4744626462395729,0.06553735376041914,-0.08446264623958655,-0.3394626462395678,19.0
0,46,21,20.96,-0.1,20.86,20.9,-43.64426049675839,191.746,191.95350000000002,192.1585,192.36350000000002,192.566,192.76850000000002,192.971,193.17100000000002,193.371,193.5735,193.77100000000002,193.971,194.17100000000002,194.371,194.5685,194.76350000000002,194.961,195.1535,195.3485,195.54350000000002,20.313386498620858,20.323386498620856,20.393386498620856,20.513386498620857,20.583386498620854,20.643386498620856,20.813386498620858,20.783386498620857,20.803386498620856,21.153386498620854,20.77338649862086,20.84338649862086,20.953386498620855,20.98338649862086,21.113386498620855,21.103386498620857,21.29338649862086,20.45338649862086,20.323386498620856,20.45338649862086,-47.38830067547768,-43.16830067547768,-43.238300675477674,-43.29830067547768,-43.31830067547769,-43.31330067547768,-43.41830067547768,-43.38830067547768,-43.40330067547768,-43.768300675477676,-43.40830067547769,-43.45330067547768,-43.488300675477674,-43.473300675477674,-43.63330067547767,-43.68330067547768,-44.143300675477676,-43.598300675477674,-43.743300675477684,-43.95830067547767,-0.646613501379143,-0.636613501379145,-0.5666135013791447,-0.4466135013791437,-0.37661350137914695,-0.3166135013791447,-0.14661350137914297,-0.1766135013791441,-0.15661350137914454,0.19338649862085333,-0.18661350137914212,-0.11661350137914184,-0.0066135013791459585,0.02338649862085873,0.15338649862085418,0.14338649862085617,0.33338649862085745,-0.5066135013791424,-0.636613501379145,-0.5066135013791424,-3.7440401787192883,0.47595982128071057,0.4059598212807174,0.3459598212807151,0.3259598212807049,0.33095982128071455,0.22595982128071057,0.2559598212807117,0.24095982128071114,-0.12404017871928374,0.23595982128070148,0.19095982128071398,0.1559598212807174,0.17095982128071796,0.010959821280721371,-0.03904017871929,-0.49904017871928374,0.04595982128071796,-0.09904017871929227,-0.31404017871928147,21.0
0,47,23,22.96,-0.1,22.86,22.9,-43.84943865473238,191.746,191.95350000000002,192.1585,192.36350000000002,192.566,192.76850000000002,192.971,193.17100000000002,193.371,193.5735,193.77100000000002,193.971,194.17100000000002,194.371,194.5685,194.76350000000002,194.961,195.1535,195.3485,195.54350000000002,22.225091319976542,22.245091319976538,22.31509131997654,22.435091319976543,22.52509131997654,22.59509131997654,22.77509131997654,22.73509131997654,22.76509131997654,23.12509131997654,22.76509131997654,22.84509131997654,22.95509131997654,23.005091319976543,23.135091319976542,23.12509131997654,23.33509131997654,22.525091319976543,22.435091319976543,22.58509131997654,-47.67330067547768,-43.41330067547767,-43.46330067547767,-43.503300675477675,-43.52830067547768,-43.52330067547767,-43.63830067547768,-43.57830067547768,-43.598300675477674,-43.96330067547768,-43.613300675477674,-43.658300675477676,-43.68330067547768,-43.67330067547768,-43.83330067547767,-43.878300675477675,-44.33330067547767,-43.79830067547768,-43.94330067547769,-44.128300675477675,-0.7349086800234588,-0.7149086800234628,-0.6449086800234625,-0.5249086800234579,-0.4349086800234616,-0.36490868002346133,-0.1849086800234616,-0.22490868002346076,-0.19490868002345962,0.1650913199765398,-0.19490868002345962,-0.11490868002346133,-0.004908680023461898,0.045091319976542366,0.17509131997654137,0.1650913199765398,0.37509131997654066,-0.43490868002345806,-0.5249086800234579,-0.37490868002345934,-3.8238620207452954,0.43613797925470976,0.3861379792547126,0.34613797925470635,0.32113797925470067,0.32613797925471033,0.21113797925470124,0.2711379792547035,0.2511379792547075,-0.1138620207453016,0.23613797925470692,0.19113797925470521,0.16613797925469953,0.17613797925470465,0.016137979254708057,-0.02886202074529365,-0.48386202074529194,0.051137979254704646,-0.09386202074530559,-0.27886202074529365,23.0
0,48,25,23.400000000000002,-0.1,23.3,24.9,-43.88036470381326,191.746,191.95350000000002,192.1585,192.36350000000002,192.566,192.76850000000002,192.971,193.17100000000002,193.371,193.5735,193.77100000000002,193.971,194.17100000000002,194.371,194.5685,194.76350000000002,194.961,195.1535,195.3485,195.54350000000002,22.638740803581292,22.668740803581287,22.73874080358129,22.85874080358129,22.948740803581288,23.00874080358129,23.18874080358129,23.16874080358129,23.198740803581288,23.54874080358129,23.208740803581293,23.28874080358129,23.39874080358129,23.44874080358129,23.57874080358129,23.57874080358129,23.78874080358129,22.97874080358129,22.90874080358129,23.05874080358129,-47.73830067547769,-43.45830067547767,-43.503300675477675,-43.53830067547767,-43.55830067547768,-43.54330067547768,-43.65330067547768,-43.61830067547767,-43.63330067547767,-43.98830067547769,-43.65330067547768,-43.69330067547767,-43.71830067547768,-43.70330067547768,-43.863300675477674,-43.90330067547768,-44.363300675477674,-43.81330067547766,-43.97330067547769,-44.143300675477676,-0.7612591964187096,-0.7312591964187156,-0.6612591964187118,-0.5412591964187108,-0.4512591964187145,-0.3912591964187122,-0.2112591964187125,-0.23125919641871207,-0.20125919641871448,0.14874080358128694,-0.19125919641870937,-0.11125919641871107,-0.001259196418711639,0.04874080358128907,0.17874080358128808,0.17874080358128808,0.38874080358128893,-0.42125919641871334,-0.49125919641871363,-0.3412591964187115,-3.857935971664432,0.42206402833558343,0.3770640283355817,0.34206402833558514,0.3220640283355749,0.33706402833557547,0.22706402833557604,0.26206402833558684,0.24706402833558627,-0.10793597166443192,0.22706402833557604,0.187064028335584,0.16206402833557831,0.17706402833557888,0.017064028335582293,-0.02293597166442396,-0.4829359716644177,0.06706402833559366,-0.09293597166443135,-0.26293597166441884,23.400000000000002
0,49,27,23.400000000000002,-0.1,23.3,26.9,-43.876812799172995,191.746,191.95350000000002,192.1585,192.36350000000002,192.566,192.76850000000002,192.971,193.17100000000002,193.371,193.5735,193.77100000000002,193.971,194.17100000000002,194.371,194.5685,194.76350000000002,194.961,195.1535,195.3485,195.54350000000002,22.656513027760354,22.666513027760352,22.736513027760353,22.856513027760354,22.946513027760354,23.006513027760356,23.186513027760355,23.166513027760352,23.196513027760354,23.556513027760353,23.20651302776035,23.276513027760352,23.40651302776035,23.446513027760354,23.576513027760353,23.57651302776035,23.786513027760353,22.976513027760355,22.906513027760354,23.06651302776035,-47.773300675477685,-43.44830067547767,-43.49330067547767,-43.52830067547768,-43.55330067547767,-43.53830067547767,-43.648300675477685,-43.613300675477674,-43.628300675477675,-43.993300675477684,-43.648300675477685,-43.67830067547767,-43.723300675477674,-43.70330067547768,-43.85330067547768,-43.898300675477685,-44.363300675477674,-43.81830067547769,-43.96330067547767,-44.14830067547767,-0.7434869722396478,-0.7334869722396498,-0.6634869722396495,-0.5434869722396485,-0.4534869722396486,-0.39348697223964635,-0.21348697223964663,-0.23348697223964976,-0.20348697223964862,0.1565130277603508,-0.1934869722396506,-0.12348697223965033,0.0065130277603486775,0.04651302776035138,0.17651302776035038,0.17651302776034683,0.38651302776035124,-0.4234869722396475,-0.49348697223964777,-0.3334869722396512,-3.8964878763046897,0.4285121236953273,0.3835121236953256,0.3485121236953148,0.32351212369532334,0.3385121236953239,0.22851212369531027,0.26351212369532107,0.2485121236953205,-0.1164878763046886,0.22851212369531027,0.19851212369532334,0.15351212369532163,0.17351212369531765,0.02351212369531197,-0.021487876304689735,-0.48648787630467893,0.05851212369530856,-0.08648787630467325,-0.2714878763046755,23.400000000000002
0,50,29,23.400000000000002,-0.1,23.3,28.9,-43.87920188184496,191.746,191.95350000000002,192.1585,192.36350000000002,192.566,192.76850000000002,192.971,193.17100000000002,193.371,193.5735,193.77100000000002,193.971,194.17100000000002,194.371,194.5685,194.76350000000002,194.961,195.1535,195.3485,195.54350000000002,22.650232069489142,22.670232069489142,22.740232069489146,22.860232069489143,22.94023206948914,23.010232069489145,23.190232069489145,23.160232069489144,23.19023206948914,23.55023206948914,23.210232069489145,23.280232069489145,23.400232069489142,23.450232069489147,23.580232069489142,23.570232069489144,23.780232069489145,22.980232069489148,22.910232069489144,23.070232069489144,-47.758300675477685,-43.45830067547767,-43.503300675477675,-43.53830067547767,-43.54830067547768,-43.54830067547768,-43.65330067547768,-43.60830067547768,-43.628300675477675,-43.99330067547767,-43.65330067547768,-43.68330067547768,-43.71830067547768,-43.70830067547769,-43.868300675477684,-43.89330067547769,-44.35330067547768,-43.80830067547768,-43.96830067547768,-44.158300675477676,-0.7497679305108598,-0.7297679305108602,-0.6597679305108564,-0.5397679305108589,-0.4597679305108606,-0.3897679305108568,-0.20976793051085707,-0.2397679305108582,-0.20976793051086062,0.1502320694891388,-0.1897679305108575,-0.11976793051085721,0.00023206948914022973,0.05023206948914449,0.18023206948913995,0.17023206948914194,0.3802320694891428,-0.41976793051085437,-0.4897679305108582,-0.32976793051085806,-3.8790987936327213,0.4209012063672901,0.3759012063672884,0.3409012063672918,0.3309012063672867,0.3309012063672867,0.22590120636728273,0.27090120636728443,0.2509012063672884,-0.11409879363270647,0.22590120636728273,0.1959012063672816,0.160901206367285,0.1709012063672759,0.010901206367279315,-0.01409879363272637,-0.4740987936327201,0.07090120636728159,-0.089098793632715,-0.2790987936327127,23.400000000000002
