Freq [GHz],dB20(S11diff) [],ang_deg(S11diff) [deg],dB20(S21diff) [],ang_deg(S21diff) [deg],dB20(S21diff) norm2
0,-10.6045412544323,178.072869381826,-26.7887445260794,-1.4892167830948,0.9472999771018
0.1,-10.6045412544323,178.072869381826,-26.7887445260794,-1.4892167830948,0.9472999771018
0.2,-10.64368589015,176.195433413665,-26.9426918572457,-0.202545320539317,0.793352645935503
0.3,-10.7081192562483,174.36646873154,-27.1980418658754,-2.72623820796139,0.538002637305802
0.4,-10.7876805237248,172.609750492214,-27.4354894806632,-2.39348909848656,0.300555022518001
0.5,-10.8728230099824,170.895568859459,-27.5681026138233,-2.79646782766567,0.167941889357902
0.6,-10.9834715718763,169.198254724793,-27.5314476221739,-2.45131489522121,0.204596881007301
0.7,-11.1071085516716,167.534160602449,-27.6436144553725,-3.1235559294739,0.092430047808701
0.8,-11.2534599355071,165.90175936151,-27.5949121754525,-2.55920992690245,0.141132327728702
0.9,-11.4221871502491,164.314755737388,-27.5146323768354,-4.25237729633997,0.2214121263458
1,-11.6099206211506,162.810654234798,-27.8327115823868,-2.89090859736921,-0.096667079205599
1.1,-11.8160411217199,161.429075703159,-27.8587023997355,-2.66324182502938,-0.122657896554298
1.2,-12.0510360658662,160.107479641801,-27.7960291338619,-2.53814673226595,-0.059984630680699
1.3,-12.3077598769232,158.940193287089,-27.7997531481388,-2.49132421731713,-0.0637086449576
1.4,-12.5790366067313,157.976728337311,-27.9169250967506,-2.26814946422461,-0.180880593569398
1.5,-12.8697174641535,157.205398559197,-27.9474627249518,-1.78842248788814,-0.2114182217706
1.6,-13.1633898030449,156.718244708714,-27.9534817124915,-1.25135569927112,-0.217437209310297
1.7,-13.4540122601611,156.441234638808,-27.9663978319803,-0.837194745090893,-0.230353328799097
1.8,-13.7390834814394,156.357708804479,-27.9509998838881,-0.223388348901635,-0.2149553807069
1.9,-14.0147220937691,156.507023839793,-27.851484892076,0.64659155914206,-0.1154403888948
2,-14.270368678892,156.900954601051,-27.7360445031812,-0.443596700872336,0
2.1,-14.488754877676,157.41528091913,-27.7725593660721,0.363219762106604,-0.036514862890901
2.2,-14.6768036096803,157.906828192546,-27.6882644137977,0.637580602344474,0.047780089383501
2.3,-14.8505476751158,158.437037024813,-27.7146453208875,0.337678179034641,0.021399182293703
2.4,-14.9884327507962,158.933487221503,-27.6522549041911,0.604309100271485,0.083789598990101
2.5,-15.1198352190927,159.229258015797,-27.6139806968542,0.578039756922846,0.122063806327002
2.6,-15.2571588790751,159.499513609465,-27.5712618987535,0.626709299560732,0.1647826044277
2.7,-15.4071507542038,159.832416263608,-27.596382156097,0.458084999282182,0.139662347084201
2.8,-15.5475390842514,160.195858026495,-27.5916432986067,1.00689585690088,0.1444012045745
2.9,-15.6721289940391,160.497422774017,-27.4615718913551,1.09146130213849,0.274472611826102
3,-15.7997853957071,160.706962076311,-27.3964801262151,1.00937714609832,0.339564376966102
3.1,-15.9422013517738,160.843811013388,-27.329332927498,0.440777920389479,0.4067115756832
3.2,-16.1179227004823,161.018375920524,-27.3688272726342,0.333044892544826,0.367217230547002
3.3,-16.2908284552101,161.466994614864,-27.383310610167,0.590877555345599,0.3527338930142
3.4,-16.4384121411898,161.888126591607,-27.2778965386376,0.879052056305583,0.458147964543603
3.5,-16.6006268281573,162.162712626424,-27.2262730494441,0.903566245690431,0.509771453737102
3.6,-16.7898931707926,162.506918451861,-27.164813968565,0.458590406339007,0.571230534616202
3.7,-16.9922483117896,163.112613579491,-27.1792426387307,0.596106104589993,0.556801864450502
3.8,-17.1767849370026,163.75123649458,-27.1922563588905,0.697815574208981,0.543788144290701
3.9,-17.3610929790714,164.470156779362,-27.071636445502,0.383456844798539,0.6644080576792
4,-17.5666621137587,165.213986194476,-27.0624784449067,-0.287601014927516,0.673566058274503
4.1,-17.7764929016383,166.157686240607,-27.09472985806,-0.627589114631215,0.641314645121202
4.2,-17.9804480785859,167.384871847752,-27.059534291343,-0.746016386040866,0.676510211838203
4.3,-18.1618477141153,168.667206724904,-27.0251808482566,-0.673475145436284,0.710863654924601
4.4,-18.341611664346,170.075160985688,-26.9213706538221,-0.738982045249856,0.814673849359103
4.5,-18.5105503450232,171.745427290695,-26.9088929345255,-1.39968166566141,0.827151568655701
4.6,-18.6363100163491,173.558079111345,-26.9545924559973,-1.79377025821156,0.781452047183901
4.7,-18.7416843533966,175.303852460797,-26.9362257506133,-1.81374230033828,0.799818752567902
4.8,-18.8630324012774,177.212388996235,-26.89126997087,-2.16947711427022,0.844774532311202
4.9,-18.9274332936222,179.435095788151,-26.849348355627,-2.6716814770278,0.886696147554201
5,-18.9400928024853,-178.451486794696,-26.8345069488942,-3.13117088939677,0.901537554287
5.1,-18.9381377908311,-176.503276796056,-26.8543517728388,-3.04171678188168,0.881692730342401
5.2,-18.9402932382213,-174.383289625021,-26.9099011747665,-2.90296859641362,0.826143328414702
5.3,-18.8882701001343,-172.077834901794,-26.8628898056228,-2.85003494540913,0.873154697558402
